hook,latent,class,auc_clean,auc_recon,auc_abl,delta_causal,delta_causal_pos_mean,delta_causal_neg_mean,delta_causal_boot_mean,delta_causal_ci95_lo,delta_causal_ci95_hi,delta_recon,n_pos,n_neg
stage2,310,HYP,0.8361854141694531,0.8373801337455051,0.836071068071415,0.0013090656740901707,-0.032889001071453094,-0.023804154247045517,0.0012900971118705842,-0.0024139668860492006,0.005055565481218066,-0.0011947195760519946,262,1936
stage2,905,HYP,0.8361854141694531,0.8373801337455051,0.8360809254936598,0.001299208251845374,0.020085517317056656,0.009707001969218254,0.001335780078050193,-0.0005851595967123306,0.003303212919446882,-0.0011947195760519946,262,1936
stage2,657,HYP,0.8361854141694531,0.8373801337455051,0.8360986688537001,0.0012814648918050286,0.021074648946523666,0.0037696913350373507,0.0012433585339806125,-0.001459556654158794,0.0040623242543496,-0.0011947195760519946,262,1936
stage2,372,HYP,0.8361854141694531,0.8373801337455051,0.8361026118225979,0.0012775219229071988,0.017384489998221397,0.006514003966003656,0.0012841454126667725,0.0003804522117815568,0.0022277257913058067,-0.0011947195760519946,262,1936
stage2,545,MI,0.9177482347749338,0.9181454104148279,0.9150981906443072,0.0030472197705206927,-0.12024646997451782,-0.10648304969072342,0.002967390559223749,0.00036113033879763007,0.005513310128838048,-0.000397175639894054,550,1648
stage2,101,MI,0.9177482347749338,0.9181454104148279,0.9156917475728157,0.0024536628420122053,0.029907146468758583,0.008542658761143684,0.0024426391506493657,0.0014435536039150074,0.0034285169045029174,-0.000397175639894054,550,1648
stage2,631,MI,0.9177482347749338,0.9181454104148279,0.9157049867608121,0.0024404236540157553,0.028402192518115044,0.007675424218177795,0.0024408724140648585,0.001324532858665348,0.003542965961823846,-0.000397175639894054,550,1648
stage2,1136,MI,0.9177482347749338,0.9181454104148279,0.9165765666372462,0.0015688437775817077,0.0033264353405684233,-0.005322255194187164,0.001549837089942698,0.0002183647992851902,0.0029750989282517175,-0.000397175639894054,550,1648
stage2,657,MI,0.9177482347749338,0.9181454104148279,0.9170178729037953,0.0011275375110325614,-0.08112224191427231,-0.06926635652780533,0.0010411373669203462,-0.0012673724675599954,0.0034054293293011044,-0.000397175639894054,550,1648
stage2,1331,MI,0.9177482347749338,0.9181454104148279,0.9170951015004413,0.0010503089143866218,-0.005091400351375341,-0.00576096773147583,0.0010441855316683602,0.00039655700291210693,0.0017237276259767453,-0.000397175639894054,550,1648
stage2,1329,MI,0.9177482347749338,0.9181454104148279,0.9175220653133274,0.0006233451015005276,0.01040992233902216,0.003360793925821781,0.0006331397977983393,0.0001660202043972437,0.0011138582886387886,-0.000397175639894054,550,1648
stage2,1076,MI,0.9177482347749338,0.9181454104148279,0.9175430273609885,0.000602383053839417,0.02099289372563362,0.010304850526154041,0.000608417058504718,-0.0004931946692009415,0.001784138953405917,-0.000397175639894054,550,1648
stage2,437,MI,0.9177482347749338,0.9181454104148279,0.9176494924977935,0.0004959179170344052,0.0058480617590248585,0.0017629723297432065,0.00048557209582685825,-0.00025597638651062807,0.0011980321593543784,-0.000397175639894054,550,1648
stage2,1413,MI,0.9177482347749338,0.9181454104148279,0.9176743159752869,0.0004710944395409644,-0.04183393344283104,-0.03071916475892067,0.0004565684116944727,-0.0008486200119070248,0.001654556720773608,-0.000397175639894054,550,1648
stage2,208,NORM,0.9350259184986189,0.9354042907412311,0.9304022096938969,0.005002081047334239,0.16908200085163116,0.03493957594037056,0.004975128056151699,0.002778702924306684,0.007277217759103843,-0.0003783722426121683,963,1235
stage2,310,NORM,0.9350259184986189,0.9354042907412311,0.9328767641605812,0.002527526580649919,0.13675636053085327,0.029767382889986038,0.0025555934489100915,0.001252887475725567,0.003766155478866648,-0.0003783722426121683,963,1235
stage2,1250,NORM,0.9350259184986189,0.9354042907412311,0.9337478611457952,0.001656429595435882,0.0033065909519791603,-0.002686068182811141,0.0016560472906792592,0.0006196007695724678,0.0027233260033394436,-0.0003783722426121683,963,1235
stage2,1076,NORM,0.9350259184986189,0.9354042907412311,0.9338168089766714,0.001587481764559695,-0.023625046014785767,-0.010443571954965591,0.001600785137000277,0.0007015412300741378,0.0024755811496291577,-0.0003783722426121683,963,1235
stage2,434,NORM,0.9350259184986189,0.9354042907412311,0.9339227532046026,0.0014815375366284966,0.061727866530418396,0.013610756024718285,0.0014819602708547022,0.0004746372709420383,0.0024348180752875896,-0.0003783722426121683,963,1235
stage2,304,NORM,0.9350259184986189,0.9354042907412311,0.9340236524692993,0.0013806382719318,0.03459455817937851,0.007521424908190966,0.001395887831454526,0.0007293737244059544,0.002057439443747963,-0.0003783722426121683,963,1235
stage2,631,NORM,0.9350259184986189,0.9354042907412311,0.9345222630023415,0.0008820277388895681,-0.00430002436041832,-0.0030576330609619617,0.0008742980411790974,0.00036361558650347965,0.0014159630762804797,-0.0003783722426121683,963,1235
stage2,101,NORM,0.9350259184986189,0.9354042907412311,0.9346450237743892,0.0007592669668419205,-0.004859049338847399,-0.002585578942671418,0.0007631616436406434,0.0003566507079114462,0.0011817310329823164,-0.0003783722426121683,963,1235
stage2,321,NORM,0.9350259184986189,0.9354042907412311,0.9348308465868722,0.0005734441543588931,-0.020341454073786736,-0.00816287100315094,0.0005939292126625331,-0.0003763892673124047,0.0014615508222545891,-0.0003783722426121683,963,1235
stage2,177,NORM,0.9350259184986189,0.9354042907412311,0.9348720471199565,0.0005322436212745751,0.01933986134827137,0.004915519151836634,0.0005359491395084156,0.0002390398934065924,0.0008440146027201473,-0.0003783722426121683,963,1235
